id,source,source_pin,destination,destination_pin,net,required,notes
PWR-01,24V supply,+,F1 3A time-delay,IN,RAW_24V,yes,Fuse close to inlet and rated at least 32VDC
PWR-02,F1 3A time-delay,OUT,Latching cutoff,IN,FUSED_24V,yes,Cutoff rated at least 30VDC 5A
PWR-03,Latching cutoff,OUT,Reverse-polarity protection,IN,SWITCHED_24V,yes,Protection rated at least 30VDC 5A
PWR-04,Reverse-polarity protection,OUT,24V distribution,+,PROTECTED_24V,yes,Cover exposed terminals
PWR-05,24V supply,-,Ground distribution,GND,GND,yes,Common return for 24V and 5V
PWR-06,24V distribution,+,Driver 1,VMOT,PROTECTED_24V,yes,Place C1 directly at carrier
PWR-07,24V distribution,+,Driver 2,VMOT,PROTECTED_24V,yes,Place C2 directly at carrier
PWR-08,24V distribution,+,H2520 electromagnet,+,PROTECTED_24V,yes,Flyback diode cathode shares this node
PWR-09,24V distribution,+,Logic fuse,IN,PROTECTED_24V,yes,1A fuse
PWR-10,Logic fuse,OUT,5V buck,IN+,BUCK_IN_24V,yes,Buck input rating at least 36V recommended
PWR-11,Ground distribution,GND,5V buck,IN-,GND,yes,
PWR-12,5V buck,OUT+,5V distribution,+,VCC_5V,yes,Adjust to 5.00V before connection
PWR-13,5V buck,OUT-,Ground distribution,GND,GND,yes,
PWR-14,5V distribution,+,Nano,5V,VCC_5V,yes,Do not connect regulated 5V to VIN
PWR-15,Ground distribution,GND,Nano,GND,GND,yes,
M1-01,Nano,D2,Driver 1,DIR,MOTOR1_DIR,yes,Firmware MOTOR_WHITE_DIR
M1-02,Nano,D3,Driver 1,STEP,MOTOR1_STEP,yes,Firmware MOTOR_WHITE_STEP
M1-03,5V distribution,+,Driver 1,VDD,VCC_5V,yes,
M1-04,Ground distribution,GND,Driver 1,logic GND,GND,yes,
M1-05,5V distribution,+,Driver 1,RESET+SLEEP,VCC_5V,yes,Tie RESET and SLEEP together first
M1-06,Ground distribution,GND,Driver 1,MS1+MS2+MS3,GND,yes,Explicit full-step mode
M1-07,Ground distribution,GND,Driver 1,ENABLE,GND,yes,Explicitly enabled
M1-08,Driver 1,1A+1B,Motor 1,coil A,MOTOR1_COIL_A,yes,Identify pair with ohmmeter while disconnected
M1-09,Driver 1,2A+2B,Motor 1,coil B,MOTOR1_COIL_B,yes,Identify pair with ohmmeter while disconnected
M1-10,Driver 1,VMOT,C1 100uF 50V,+,PROTECTED_24V,yes,Mount at carrier
M1-11,Driver 1,motor GND,C1 100uF 50V,-,GND,yes,Striped capacitor lead
M1-12,Ground distribution,GND,Driver 1,motor GND,GND,yes,Dedicated motor-current return
M2-01,Nano,D4,Driver 2,DIR,MOTOR2_DIR,yes,Firmware MOTOR_BLACK_DIR
M2-02,Nano,D5,Driver 2,STEP,MOTOR2_STEP,yes,Firmware MOTOR_BLACK_STEP
M2-03,5V distribution,+,Driver 2,VDD,VCC_5V,yes,
M2-04,Ground distribution,GND,Driver 2,logic GND,GND,yes,
M2-05,5V distribution,+,Driver 2,RESET+SLEEP,VCC_5V,yes,Tie RESET and SLEEP together first
M2-06,Ground distribution,GND,Driver 2,MS1+MS2+MS3,GND,yes,Explicit full-step mode
M2-07,Ground distribution,GND,Driver 2,ENABLE,GND,yes,Explicitly enabled
M2-08,Driver 2,1A+1B,Motor 2,coil A,MOTOR2_COIL_A,yes,Identify pair with ohmmeter while disconnected
M2-09,Driver 2,2A+2B,Motor 2,coil B,MOTOR2_COIL_B,yes,Identify pair with ohmmeter while disconnected
M2-10,Driver 2,VMOT,C2 100uF 50V,+,PROTECTED_24V,yes,Mount at carrier
M2-11,Driver 2,motor GND,C2 100uF 50V,-,GND,yes,Striped capacitor lead
M2-12,Ground distribution,GND,Driver 2,motor GND,GND,yes,Dedicated motor-current return
MAG-01,Nano,D6,R1 1k,1,MAGNET_COMMAND,yes,
MAG-02,R1 1k,2,TIP120,BASE,MAGNET_BASE,yes,
MAG-03,TIP120,BASE,R2 10k,1,MAGNET_BASE,yes,Reset-state pull-down
MAG-04,R2 10k,2,Ground distribution,GND,GND,yes,
MAG-05,TIP120,EMITTER,Ground distribution,GND,GND,yes,
MAG-06,TIP120,COLLECTOR,H2520 electromagnet,-,MAGNET_LOW_SIDE,yes,
MAG-07,Flyback diode,CATHODE,H2520 electromagnet,+,PROTECTED_24V,yes,Diode stripe on this side
MAG-08,Flyback diode,ANODE,H2520 electromagnet,-,MAGNET_LOW_SIDE,yes,
MUX-01,Nano,A3,MUX0..MUX3,S0,MUX_S0,yes,Shared address bit 0
MUX-02,Nano,A2,MUX0..MUX3,S1,MUX_S1,yes,Shared address bit 1
MUX-03,Nano,A1,MUX0..MUX3,S2,MUX_S2,yes,Shared address bit 2
MUX-04,Nano,A0,MUX0..MUX3,S3,MUX_S3,yes,Shared address bit 3
MUX-05,Nano,D12,MUX0..MUX3,SIG,MUX_SIGNAL,yes,All SIG pins share INPUT_PULLUP
MUX-06,Nano,D13,MUX0,EN,MUX0_ENABLE,yes,Active low
MUX-07,Nano,D9,MUX1,EN,MUX1_ENABLE,yes,Active low
MUX-08,Nano,D8,MUX2,EN,MUX2_ENABLE,yes,Active low
MUX-09,Nano,D7,MUX3,EN,MUX3_ENABLE,yes,Active low
MUX-10,5V distribution,+,MUX0..MUX3,VCC,VCC_5V,yes,
MUX-11,Ground distribution,GND,MUX0..MUX3,GND,GND,yes,
LCD-01,Nano,A4,LCD,SDA,I2C_SDA,yes,Backpack address is detected by firmware
LCD-02,Nano,A5,LCD,SCL,I2C_SCL,yes,Backpack address is detected by firmware
LCD-03,5V distribution,+,LCD,VCC,VCC_5V,yes,
LCD-04,Ground distribution,GND,LCD,GND,GND,yes,
SW-01,Nano,D11,Switch A,NO,SWITCH_A,yes,Other switch terminal to GND
SW-02,Switch A,COM,Ground distribution,GND,GND,yes,Pressed reads LOW
SW-03,Nano,A6,Switch B,NO,SWITCH_B,yes,Analog-only input
SW-04,Switch B,COM,Ground distribution,GND,GND,yes,Pressed reads LOW
SW-05,5V distribution,+,R3 10k,1,VCC_5V,yes,A6 external pull-up
SW-06,R3 10k,2,Nano,A6,SWITCH_B,yes,A6 external pull-up
BLE-01,HC-08,TXD,R4 1k,1,BLE_TX_RAW,yes,
BLE-02,R4 1k,2,Nano,D10,BLUETOOTH_RX,yes,Receive-only software UART
BLE-03,Nano,D1,R5 1k,1,SERIAL_TX,yes,Shared reply transmit
