mux,mux_enable_pin,channel,logical_square,reed_other_terminal,occupied_level
0,D13,0,a2,GND,LOW
0,D13,1,b2,GND,LOW
0,D13,2,c2,GND,LOW
0,D13,3,d2,GND,LOW
0,D13,4,e2,GND,LOW
0,D13,5,f2,GND,LOW
0,D13,6,g2,GND,LOW
0,D13,7,h2,GND,LOW
0,D13,8,a1,GND,LOW
0,D13,9,b1,GND,LOW
0,D13,10,c1,GND,LOW
0,D13,11,d1,GND,LOW
0,D13,12,e1,GND,LOW
0,D13,13,f1,GND,LOW
0,D13,14,g1,GND,LOW
0,D13,15,h1,GND,LOW
1,D9,0,a8,GND,LOW
1,D9,1,b8,GND,LOW
1,D9,2,c8,GND,LOW
1,D9,3,d8,GND,LOW
1,D9,4,e8,GND,LOW
1,D9,5,f8,GND,LOW
1,D9,6,g8,GND,LOW
1,D9,7,h8,GND,LOW
1,D9,8,a7,GND,LOW
1,D9,9,b7,GND,LOW
1,D9,10,c7,GND,LOW
1,D9,11,d7,GND,LOW
1,D9,12,e7,GND,LOW
1,D9,13,f7,GND,LOW
1,D9,14,g7,GND,LOW
1,D9,15,h7,GND,LOW
2,D8,0,a6,GND,LOW
2,D8,1,b6,GND,LOW
2,D8,2,c6,GND,LOW
2,D8,3,d6,GND,LOW
2,D8,4,e6,GND,LOW
2,D8,5,f6,GND,LOW
2,D8,6,g6,GND,LOW
2,D8,7,h6,GND,LOW
2,D8,8,a5,GND,LOW
2,D8,9,b5,GND,LOW
2,D8,10,c5,GND,LOW
2,D8,11,d5,GND,LOW
2,D8,12,e5,GND,LOW
2,D8,13,f5,GND,LOW
2,D8,14,g5,GND,LOW
2,D8,15,h5,GND,LOW
3,D7,0,a4,GND,LOW
3,D7,1,b4,GND,LOW
3,D7,2,c4,GND,LOW
3,D7,3,d4,GND,LOW
3,D7,4,e4,GND,LOW
3,D7,5,f4,GND,LOW
3,D7,6,g4,GND,LOW
3,D7,7,h4,GND,LOW
3,D7,8,a3,GND,LOW
3,D7,9,b3,GND,LOW
3,D7,10,c3,GND,LOW
3,D7,11,d3,GND,LOW
3,D7,12,e3,GND,LOW
3,D7,13,f3,GND,LOW
3,D7,14,g3,GND,LOW
3,D7,15,h3,GND,LOW
